Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
"Efektifitas Pemberian Nutrisi Air Leri, Air Kelapa dan Air Rendaman Enceng Gondok Terhadap Pertumbuhan dan Hasil Jamur Tiram Putih (Pleurotus ostreatus)",Penulis : Yusriansyah,"Dosen Pembimbing I : Dr. Ir. H. Ahmad Arsyadmunir, MS","Dosen Pembimbing II :Ir. Sinar Suryawati, MSi","Yusriansyah. 08.03.1.1.1.00005. Efektifitas Pemberian Nutrisi Air leri, Air kelapa dan Air Rendaman Enceng gondok Terhadap Pertumbuhan dan Hasil Jamur Tiram Putih (Pleurotus ostretaus), dibawah bimbingan Dr.Ir..Ahmad Arsyadmunir, MS dan Ir.Sinar Suryawati, MSi.

ABSTRAK

Jamur Tiram Putih (Pleurotus ostreatus) merupakan jamur jenis konsumsi yang mempunyai nilai ekonomis tinggi dan berkhasiat sebagai obat dalam bidang kesehatan. Jamur tiram putih dalam pertumbuhan dan perkembangannya  membutuhkan tambahan nutrisi sehingga produksi menjadi lebih baik, seperti nutrisi air leri, air kelapa dan air rendaman enceng gondok. Air leri mengandung unsur karbon, nitrogen, mineral dan vitamin B, Air kelapa mengandung unsur hormon, vitamin C, garam, Enceng gondok mengandung unsur karbohidrat, protein dan hormon. Tujuan penelitian ini untuk mengetahui efek pemberian air leri, air kelapa dan air rendaman enceng gondok terhadap pertumbuhan dan hasil jamur tiram putih (Pleurotus ostreatus). Penelitian ini dilaksanakan di Kumbung Maduraya Agro Desa Banyuajuh, Kecamatan Kamal, Kabupaten Bangkalan. Percobaan dilaksanakan secara non-faktorial dengan Rancangan Acak Lengkap dengan 1 faktor. Faktor tersebut merupakan pemberian air leri, air kelapa dan air rendaman enceng yang terdiri dari 7 level, yaitu tanpa pemberian nutrisi (N0), pemberian nutrisi air leri (N1), pemberian nutrisi air kelapa (N2), pemberian nutrisi air leri dan air kelapa (N3), pemberian nutrisi rendaman enceng gondok (N4), pemberian nutrisi rendaman enceng gondok dan air leri (N5), pemberian nutrisi enceng gondok dan air kelapa (N6), pemberian nutrisi rendaman enceng gondok, air leri dan air kelapa (N7). Hasil penelitian menunjukkan bahwa perlakuan pemberian nutrisi air leri air kelapa dan air rendaman enceng gondok terhadap pertumbuhan dan hasil jamur tiram putih (Pleurotus ostreatus) tidak memberikan pengaruh nyata terhadap waktu muncul tubuh buah dan  waktu panen, tetapi penambahan nutrisi air leri, air kelapa dan air rendaman enceng gondok memberikan pengaruh nyata terhadap parameter, jumlah tubuh buah, lebar tudung buah maksimal, panjang tangkai maksimal, bobot total dan efisiensi biologis. 

Kata kunci: efektifitas, air leri, air kelapa, air rendaman enceng gondok, efisiensi biologis, Jamur tiram putih.
"
"RESPON PERTUMBUHAN VEGETATIF TANAMAN HIAS ILER (Coleus scutellarioides Linn. Benth)TERHADAP PEMUPUKAN NITROGEN 
PADA BERBAGAI KOMPOSISI MEDIA
",Penulis : Nurhayati,"Dosen Pembimbing I : Mustika Tripatmasari, SP.,MSi","Dosen Pembimbing II :Catur Wasonowati, SP.,MSi","ABSTRAK

Iler (Coleus blumei) merupakan salah satu jenis tanaman hias yang dimanfaatkan keindahan daunnya. Untuk mendapatkan keindahan tersebut maka upaya peningkatan pertumbuhan vegetatif tanaman khususnya daun perlu dilakukan. Penambahan unsur nitrogen dan komposisi media yang tepat dalam penelitian ini diharapkan dapat meningkatkan kualitas keindahan dari tanaman hias iler tersebut. Metode yang digunakan dalam penelitian ini adalah metode faktorial yang terdiri dari dua faktor dan disusun sesuai Rancangan Acak Lengkap (RAL). Faktor I adalah komposisi media tanam yang terdiri dari 3 taraf yaitu, M1 (media tanah), M2 (media kombinasi tanah dan pasir, 1:1), M3 (media kombinasi tanah, pasir, dan arang sekam, 1:1:1). Faktor II adalah dosis pupuk nitrogen yang terdiri dari 3 taraf yaitu P1 (dosis pupuk nitrogen 50 kg/Ha), P2 (dosis pupuk nitrogen 75 kg/Ha), P3 (dosis pupuk 100 kg/Ha). Parameter yang diamati meliputi panjang tanaman, jumlah cabang, jumlah daun, dan luas daun. Metode uji yang digunakan dalam penelitian ini adalah Uji Jarak Duncan (UJD) 5%. Hasil penelitian menunjukkan bahwa tidak ada interaksi antar perlakuan pada semua parameter pengamatan. Perlakuan media memberikan pengaruh yang berbeda nyata pada parameter pertumbuhan panjang tanaman dan luas daun pada umur tanaman 3 MST. Media yang menghasilkan nilai rata-rata tertinggi pada semua parameter pertumbuhan adalah media kombinasi tanah, pasir, dan arang sekam (M3). Dosis pupuk ysng memberikan nilai rata-rata tertinggi pada semua parameter pertumbuhan adalah dosis pupuk 550 kg/Ha (P1). Media terbaik untuk digunakan sebagai media tanam pada tanaman hias iler berdasarkan haasil penelitian ini adalah media kombinasi tanah, pasir, dan arang sekam (M3) (1:1:1). Dosis pemupukan pada tanaman hias iler berdasarkan penelitian ini adalah cukup 50 kg/Ha. 

Kata kunci: Iler, komposisi media, nitrogen, media kombinasi. 
"
Pengaruh Media Tanam Dan Nutrisi Terhadap Pertumbuhan dan Hasil Tanaman Pakchoi (Brassica juncea L.) dengan Sistem Hidroponik,Penulis : Balia Perwitasari,"Dosen Pembimbing I : Mustika Tripatmasari, SP., M.Si.","Dosen Pembimbing II :Catur Wasonowati, SP., M.Si.","Pakchoi (Brassica juncea L.) merupakan salah satu tanaman sayur yang memiliki nilai ekonomis dan gizi tinggi. Teknologi hidroponik menjadi alternatif dalam budidaya dengan menggunakan media substrat selain tanah dan nutrisi. Tujuan dari penelitian ini adalah untuk mengetahui pengaruh komposisi macam media dan nutrisi terhadap pertumbuhan dan hasil tanaman pakchoi serta mengetahui perlakuan mana yang paling baik untuk pertumbuhan dan hasil tanaman pakchoi. Penelitian dilakukan di kebun percobaan dalam rumah plastik, Fakultas Pertanian Universitas Trunojoyo Madura, pada ketinggian ± 5 m dpl, suhu 29ºC, dan RH ± 75%. Penelitian dilakukan pada bulan Desember 2011 sampai dengan Pebruari 2012. Analisis yang digunakan adalah RAL non faktorial. Perlakuan dengan mengkomposisikan jenis media (sekam mentah, arang sekam, pasir) dan nutrisi (tanpa nutrisi, nutrisi premium, nutrisi goodplant). Terdapat sembilan perlakuan, tiga ulangan dan tiga sampel tanaman, dianalisis dengan uji lanjut DMRT 5%. Hasil penelitian menunjukkan bahwa perlakuan komposisi media dan nutrisi berbeda nyata pada berbagai umur pengamatan disetiap variabel pengamatan. Perlakuan yang terbaik terdapat pada komposisi media arang sekam dan nutrisi goodplant (M2N2). Hal ini dibuktikan dengan rata-rata hasil yang tertinggi pada panjang tanaman (29,38 cm), jumlah daun (22,22 helai), luas daun (3226,79 cm2), bobot basah (242,19 g) dan bobot kering (13,27 g) total tanaman pakchoi pada umur 4 MST."
"UJI PUPUK SULFUR TERHADAP PERTUMBUHAN DAN HASIL 
BAWANG MERAH (Allium ascalonicum L.)
",Penulis : Adhadiyanto,"Dosen Pembimbing I : Dr. Ir. RA Sidqi Zaed ZM, MS","Dosen Pembimbing II :Dr. Ir. Eko Murniyanto, MP","Bawang merah merupakan salah satu komoditas unggulan sayuran yang banyak digunakan untuk memenuhi bahan baku masakan, rempah-rempah, dan bahan baku olahan bawang goreng. Ketersediaan hara sulfur di dalam tanah juga sering menjadi faktor pembatas bagi tanaman bawang merah untuk menghasilkan umbi dengan bobot dan kualitas yang baik. Tujuan penelitian ini adalah mengetahui dosis pupuk sulfur yang tepat pada tanaman bawang merah dan mempelajari pengaruh pupuk sulfur terhadap pertumbuhan dan hasil bawang merah (Allium ascalonicum L.). Penelitian ini dilaksanakan dari bulan 27 November 2011 – 17 Februari 2012 pada musim hujan di Kebun Percobaan Fakultas Pertanian Universitas Trunojoyo Madura di Desa Telang, Kecamatan Kamal, Kabupaten Bangkalan. Alat yang digunakan adalah cangkul, ranting pohon yang dipotong meruncing, gembor, pisau, papan nama,  penggaris, kertas dan alat tulis. Bahan yang digunakan adalah bibit bawang merah, pupuk Urea, pupuk ZA, pupuk SP36, pupuk KCl, fungisida, kompos enceng gondok, dan pupuk kandang kambing. Analisis data diolah menggunakan Analisis Varians (ANOVA) yang dilanjutkan dengan Beda Nyata Terkecil (BNT) pada taraf 5%  sesuai rancangan yang digunakan. Pupuk sulfur tidak berpengaruh secara nyata terhadap semua parameter secara umum, yaitu panjang tanaman, jumlah daun, luas daun, bobot kering matahari umbi per rumpun,  jumlah umbi, diameter umbi dan bobot kering tanaman. Pupuk sulfur yang menggunakan 281,25 kg/Ha ZA menghasilkan nilai rata-rata bobot kering matahari umbi per rumpun yaitu 22,61 gram dan jumlah umbi per rumpun sebanyak 5,33 umbi. Pupuk menggunakan 15 ton/Ha kompos eceng gondok menghasilkan bobot kering matahari umbi per rumpun yaitu 23,13 gram dan jumlah umbi per rumpun sebanyak 4,88 umbi. Pupuk sulfur yang menggunakan pupuk ZA maupun kompos eceng gondok menghasilkan pertumbuhan dan hasil bawang merah yang tidak berbeda nyata.
Kata kunci: Bawang merah (Allium ascalonicum L.) dan pupuk sulfur
"
KERAGAMAN KANDUNGAN MINYAK ATSIRI BUAH CABE JAMU (Piper retrofractum VAHL) PADA BEBERAPA JENIS TANAH,Penulis : Refkie Ardiansyah,Dosen Pembimbing I : Ir. Sinar Suryawati M.Si,Dosen Pembimbing II :Drs.Kaswan Badami M.Si,"Cabe jamu (Piper retrofractum Vahl) merupakan tanaman penghasil minyak atsiri yang banyak digunakan dalam pengobatan dan mampu beradaptasi pada berbagai jenis tanah. Penelitian tentang hubungan minyak atsiri dengan jenis tanah masih belum banyak dilakukan. Tujuan penelitian adalah untuk mengetahui keragaman dan perbedaan kandungan minyak atsiri buah cabe jamu pada berbagai jenis tanah serta hubungan antara unsur hara K dalam tanah dengan kandungan minyak atsiri. Penelitian dilakukan di sentra budidaya cabe jamu Kabupaten Sampang yang meliputi Kecamatan Banyuates, Ketapang dan Sokobanah. Bahan yang digunakan dalam penelitian ini adalah buah cabe jamu, pelarut eter dan sampel tanah, Sedangkan alat yaitu peta jenis tanah tinjau, GPS (Global Positioning System), peralatan uji kandungan minyak atsiri, dan AAS (Atomic Absorption Spectrophotometer). Data dianalisis menggunakan uji t (hitung) dengan taraf 5% untuk menentukan perbedaan kandungan minyak atsiri pada berbagai jenis tanah dan uji regresi sederhana untuk menentukan hubungan antara unsur hara K dengan kandungan minyak atsiri. Kandungan minyak atsiri buah cabe jamu bervariasi pada berbagai jenis tanah. Minyak atsiri tertinggi diperoleh pada buah cabe jamu yang ditanam di jenis tanah Asosiasi Litosol dan Mediteran Coklat Kemerahan yang mengandung unsur hara K tertinggi dibandingkan jenis tanah lainnya. Keragaman kandungan minyak atsiri buah cabe jamu dipengaruhi oleh kandungan unsur hara K dalam tanah sebesar 52% dengan tingkat hubungan cukup erat (r=0,718).
Kata kunci: Cabe jamu (Piper retrofractum Vahl.), minyak atsiri, jenis tanah dan unsur hara K"
"PERTUMBUHAN STEK SULUR BUAH CABE JAMU
(Piper retrofractum Vahl.) PADA KOMPOSISI MEDIA
TANAM YANG BERBEDA  
",Penulis : Mahfut,"Dosen Pembimbing I : Ir. Sinar Suryawati, M.Si","Dosen Pembimbing II :Mustika Tripatmasari, SP. M.Si","Penanaman stek cabe jamu secara langsung di lahan tanpa penyemaian terlebih dahulu menyebabkan tingkat keberhasilan hidup dari stek tersebut rendah. Agar stek dapat tumbuh dengan baik maka perlu mempersiapkan bibit stek sebelum penanaman di lapang yaitu stek ditanam terlebih dahulu di polibag dengan menggunakan  komposisi media tanam yang tepat sehingga pertumbuhan akar menjadi bagus. Oleh karena itu maka perlu adanya penelitian lebih lanjut mengenai komposisi media tanam yang tepat dengan memanfaatkan bahan-bahan yang banyak tersedia seperti kotoran sapi, sekam atau serbuk gergaji sehingga pertumbuhan stek lebih baik. Dengan demikian jika dilakukan penanaman di lapang tingkat keberhasilan hidup dari stek bibit lebih tinggi sehingga menghasilkan pertumbuhan tananaman cabe jamu yang  lebih baik. Tujuan penelitian ini untuk mengetahui komposisi media tanam yang cocok untuk pertumbuhan stek sulur buah pada cabe jamu. Penelitian ini dilaksanakan di Desa Gunung Rancak, Kecamatan Robatal, Kabupaten Sampang pada bulan November 2011-Februari 2012. Bahan yang digunakan dalam penelitian ini adalah stek sulur buah cabe jamu, tanah, sekam padi, pupuk kotoran sapi, serbuk gergaji polybag hitam ukuran  26 cm x 13 cm. Data hasil pengamatan dianalisis dengan uji F atau Anova, kemudian untuk membedakan setiap perlakuan dilanjutkan dengan Uji Jarak Duncan dengan ulangan yang tidak sama pada taraf kepercayaan 5%. Komposisi media tanah dicampur dengan kotoran sapi 1:1 (v/v) secara umum memberikan pertumbuhan yang lebih baik jika dibandingkan perlakuan media yang lain.
"
"KAJIAN HUBUNGAN UNSUR HARA MIKRO (Fe, Cu, Mn) DENGAN KANDUNGAN MINYAK ATSIRI BUAH CABE JAMU (Piper retrofractum Vahl) ",Penulis : Lailatul Qadariyah,"Dosen Pembimbing I : Ir.Sinar Suryawati,M.Si","Dosen Pembimbing II :Ir.Sucipto,MP","ABSTRAK
Cabe jamu (Piper retrofractum Vahl) merupakan salah satu tanaman obat potensial penghasil metabolit sekunder minyak atsiri yang memiliki banyak manfaat antara lain sebagai antioksidan, analgesic, afrodisiak, anti inflamasi, anti piretik, dan sebagai stimulan.  Salah satu faktor yang mempengaruhi kandungan metabolit sekunder tanaman adalah faktor  kandungan unsur hara dalam tanah. Diduga kandungan minyak atsiri buah cabe jamu dipengaruhi oleh unsur hara mikro seperti Fe, Cu dan Mn. Tujuan penelitian adalah untuk mengetahui hubungan antara unsur hara mikro Fe, Cu, dan Mn dengan kandungan minyak atsiri buah cabe jamu. Penelitian ini dilakukan di sentra budidaya tanaman cabe jamu Kabupaten Sampang yang meliputi Kecamatan Banyuates, Ketapang dan Sokobanah. Bahan yang digunakan adalah buah cabe jamu, pelarut eter dan sampel tanah.  Alat yang digunakan dalam penelitian ini adalah peta jenis tanah tinjau, kompas, Global Positioning System (GPS),  beaker glass, alat  pengocok  (shaker),  kertas  saring,  timbangan  analitik,  cawan  penguap, oven, dan Atomic Absorption Spechtrophotometer (AAS). Data yang telah diperoleh dianalisis menggunakan analisis regresi linier dan korelasi sederhana menggunakan SPSS 16 for windows untuk menentukan hubungan unsur hara mikro (Fe, Cu, Mn) dengan kandungan minyak atsiri buah cabe jamu. Kandungan minyak atsiri buah cabe jamu dipengaruhi oleh kandungan unsur hara mikro Fe, Cu, dan Mn dalam tanah. Kandungan unsur hara mikro Fe (X1), Cu (X2), dan Mn (X3) secara bersamaan lebih mempengaruhi  kandungan minyak atsiri dibandingkan secara tunggal dengan model persamaan Y = 0,381 – 0,015 X1 – 0,015 X2 + 0,036 X3 (R2 = 0,270). Sedangkan derajat keeratan hubungan antara minyak atsiri dengan masing-masing unsur hara mikro Fe (r = -0,407) dan Cu (r = -0,482) termasuk kategori sedang, namun dengan unsur Mn (r = -0,293) termasuk kategori rendah. 
Kata kunci : cabe jamu, unsur hara mikro (Fe, Cu, Mn), minyak atsiri.
"
"Agroekologi Cabe Jamu (Piper retrofractum Vahl) di Kabupaten Sumenep:
Hubungan Prduktivitas dengan Curah Hujan, Kadar Air Tanah,  Intensitas Cahaya dan Nitrogen 
",Penulis : Imam Muchlis,"Dosen Pembimbing I : Dr.Ir. Eko Murniyanto, MP","Dosen Pembimbing II :Dr. Ir. R. Sidqi Zaed Zaenollah, MS","Cabe Jamu atau cabe jawa (Piper retrofractum Vahl) merupakan tanaman obat yang banyak dibudidayakan di Kabupaten Sumenep. Upaya pembudidayaan cabe jamu dilakukan untuk meningkatkan produktivitas dalam rangka memenuhi kebutuhan atau permintaan. Produktivitas cabe jamu ditentukan kondisi agroekologi, sedangkan agroekologi tersusun dari berbagai komponen. Penelitian ini bertujuan untuk mengetahui teknologi produksi dan tingkat produksi yang dicapai para petani cabe jamu dan mengetahui hubungannya dengan curah hujan, intensitas cahaya, nitrogen, kadar air tanah. Metode penelitian ini dilakukan dengan survei. Stasiun pengamatan ditentukan dengan metode purposive sampling. Data dianalisis secara deskriptif dan statistik. Hasil penelitian menunjukkan bahwa produktivitas cabe jamu di Kabupaten Sumenep didapat persamaan yaitu:
log Y = log 12,818 + 0,283 log (X1) + 0,039 log (X2) – 0,603 log (X3) – 3,595 log (X4).
Kata kunci: cabe jamu, agroekologi, produktivitas
"
"Hubungan Kadar Air, Kandungan N, dan Bahan organik terhadap kandungan minyak atsiri cabe jamu (Piper retrofractum Vahl) di Tiga Kecamatan Kabupaten Lamongan",Penulis : Oktavian Ari Husada,Dosen Pembimbing I : Drs. H. Kaswan Badami. M.Si,Dosen Pembimbing II :Yunin Hidayati. S.si M.Si,"Cabe Jamu atau cabe jawa (Piper retrofractum Vahl) merupakan tanaman obat yang memiliki kandungan minyak atsiri tinggi. Kabupaten Lamongan merupakan salah satu daerah penghasil cabe jamu. Upaya pembudidayaan cabe jamu dilakukan untuk meningkatkan produktivitas dalam rangka memenuhi kebutuhan atau permintaan. Selain dikenal mempunyai rasa pedas yang kuat, cabe jawa juga dikenal mempunyai banyak efek positif bagi tubuh manusia seperti menurunkan angka serangan jantung, stroke, dan emboli pulmonal. Bagian yang bermanfaat adalah buahnya yang mengandung minyak atsiri. Kandungan utama minyak atsiri cabe jawa adalah terpenoid yang terdiri atas noktanol, linanool, terpinil asetat, sitronelil asetat, piperin, alkaloid, saponin, polifenol, resin (kavisin). Penelitian ini bertujuan untuk mengetahui kandungan minyak atsiri yang terdapat pada tanaman cabe jamu di 3 Kecamatan yang terdapat di Kabupaten Lamongan. Metode penelitian ini dilakukan dengan metode survey. Analisis data yang dilakukan pada penelitian ini menggunakan analisis regresi untuk mencari hubungan antara kandungan minyak atsiri cabe jamu dengan unsur yang terdapat di dalam tanah.
Hasil penelitian menunjukkan bahwa hubungan antara kandungan minyak atsiri cabe jamu dengan Kadar Air tanah, Bahan Organik, dan Kandungan N total tanah di Kabupaten Lamongan didapat persamaan yaitu:
 Y = 45,879 – 1,288 X1+ 79,464 X2 - 1,348 X3
Dari hasil regresi setiap Kecamatan terdapat kesamaan setiap nilai konstanta dengan prediktor kedua yaitu kandungan N total tanah, apabila konstanta bernilai positif maka nilai prediktor kedua juga akan menjadi positif begitu pula sebaliknya jika konstanta bernilai negatif maka prediktor kedua juga akan bernilai negatif. Hal ini disebabkan apabila kandungan N tanah tinggi maka akan berdampak dengan tingginya kandungan minyak atsiri di setiap Kecamatan. 
Dilihat dai nilai koefisiensi regresi pada tiga Kecamatan menunjukkan bahwa variabel kadar air tanah mempunyai nilai negatif 1,288, dengan demikian apabila kualitas kadar air tanah meningkat akan menyebabkan penurunan kandungan minyak atsiri pada cabe jamu. Sedangkan untuk variabel N total tanah mempunyai nilai koefisien regresi positif  79,464. Hal ini menunjukkan jika kandungan N total meningkat akan menyebabkan peningkatan kandungan minyak atsiri pada cabe jamu

Kata kunci: cabe jamu, minyak atsiri, Kabupaten Lamongan

"
PENGARUH JENIS TANAH TERHADAP KADAR PIPERIN PADA BUAH CABE JAWA (Piper retrofractum. Vahl) (STUDI KASUS DI KECAMATAN SENTRA CABE JAWA KABUPATEN PAMEKASAN),Penulis : Liya Andriani,"Dosen Pembimbing I : Drs. H. Kaswan Badami, M.si","Dosen Pembimbing II :Ir. Sucipto, MP","Cabe Jawa (Piper retrofractum Vahl) tergolong pada familia piperaceae merupakan salah satu jenis tanaman obat Indonesia yang umumnya digunakan sebagai bahan campuran dalam racikan obat – obatan tradisional. Buah cabe jawa mengandung salah satu metabolit sekunder yaitu piperin yang dibutuhkan karena terdapat rasa pedas di dalamnya. Tanaman cabe jawa tersebar pada beberapa wilayah di Indonesia sehingga memungkinkan terjadinya keragaman yang dapat disebabkan oleh lingkungan tumbuh. Tanah menjadi salah satu faktor penentu pertumbuhan tanaman yang nantinya akan berpengaruh terhadap kandungan metabolit sekunder dari tanaman budidaya. Pada umumnya jenis tanah yang dikehendaki untuk budidaya tanaman cabe  jawa adalah  jenis tanah aluvial, latosol dan podsolik merah kuning dengan tekstur liat berpasir, porus dan berdrainase baik. Tujuan dari penelitian ini mengetahui perbedaan kadar piperin buah cabe jawa dan mengetahui hubungan antara jenis tanah yang berbeda terhadap kadar piperin buah cabe jawa di tiga Kecamatan Kabupaten Pamekasan. Penelitian ini dilaksanakan pada bulan Maret 2013 sampai dengan Mei 2013. Parameter pengamatan yang diteliti adalah kadar piperin pada buah cabe jawa dan kadar N pada sampel tanah, data-data dianalisis dengan menggunakan uji t (hitung) untuk mencari perbedaan kadar piperin pada jenis tanah yang berbeda dan analisis regresi untuk mencari pengaruh variabel kadar N tanah terhadap variabel kadar piperin. Hasil penelitian menunjukkan kadar piperin pada jenis tanah C (Kompleks Mediteran Merah dan Litosol) lebih tinggi tinggi daripada kadar piperin pada perbandingan 2 jenis tanah lainnya dan terdapat hubungan yang erat antara kadar N tanah dengan kadar piperin buah cabe jawa dengan nilai koefisien korelasi (r) =  0,565.

 
Kata Kunci : Cabe Jawa, Piperin, Tanah


"
